time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,pm_13,pm_14,pm_15,pm_16,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.238617,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.022,-0.054,0.026,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484765,1.229217,0.319669,0.000907,0.005873,0.000978,-0.999982,0.543453,1.127840,0.229231,-0.001183,-0.005788,-0.000534,0.999982,0.577260,0.803676,0.272704,-0.018241,-0.017239,0.015872,0.999559
0.248826,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.022,-0.054,0.026,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484765,1.229217,0.319669,0.000907,0.005873,0.000978,-0.999982,0.543453,1.127840,0.229231,-0.001183,-0.005788,-0.000534,0.999982,0.577260,0.803676,0.272704,-0.018241,-0.017239,0.015872,0.999559
0.259009,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.022,-0.054,0.026,0.010,-0.008,-0.023,-0.035,0.000,0.000,0.000,0.000,0.484765,1.229219,0.319669,0.000912,0.005873,0.000981,-0.999982,0.543454,1.127841,0.229234,-0.001191,-0.005763,-0.000552,0.999983,0.577253,0.803672,0.272703,-0.018241,-0.017239,0.015863,0.999559
0.269229,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.022,-0.054,0.026,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484765,1.229219,0.319669,0.000912,0.005873,0.000981,-0.999982,0.543454,1.127841,0.229234,-0.001191,-0.005763,-0.000552,0.999983,0.577253,0.803672,0.272703,-0.018241,-0.017239,0.015863,0.999559
0.279488,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.022,-0.054,0.026,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484765,1.229219,0.319669,0.000912,0.005873,0.000981,-0.999982,0.543454,1.127841,0.229234,-0.001191,-0.005763,-0.000552,0.999983,0.577253,0.803672,0.272703,-0.018241,-0.017239,0.015863,0.999559
0.289736,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.022,-0.054,0.026,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484771,1.229217,0.319669,0.000907,0.005875,0.000975,-0.999982,0.543452,1.127840,0.229234,-0.001181,-0.005764,-0.000554,0.999983,0.577255,0.803675,0.272706,-0.018236,-0.017241,0.015865,0.999559
0.299977,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.022,-0.054,0.026,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484771,1.229217,0.319669,0.000907,0.005875,0.000975,-0.999982,0.543452,1.127840,0.229234,-0.001181,-0.005764,-0.000554,0.999983,0.577255,0.803675,0.272706,-0.018236,-0.017241,0.015865,0.999559
0.310215,0.000,0.000,0.000,0.332,0.342,0.348,0.335,-0.001,0.022,-0.054,0.026,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484771,1.229217,0.319669,0.000907,0.005875,0.000975,-0.999982,0.543452,1.127840,0.229234,-0.001181,-0.005764,-0.000554,0.999983,0.577255,0.803675,0.272706,-0.018236,-0.017241,0.015865,0.999559
0.320470,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.001,0.022,-0.054,0.026,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484770,1.229216,0.319669,0.000902,0.005880,0.000982,-0.999982,0.543454,1.127843,0.229240,-0.001187,-0.005795,-0.000573,0.999982,0.577259,0.803676,0.272703,-0.018237,-0.017242,0.015867,0.999559
0.330779,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.001,0.022,-0.054,0.026,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484773,1.229217,0.319665,0.000902,0.005876,0.000976,-0.999982,0.543448,1.127841,0.229235,-0.001184,-0.005782,-0.000547,0.999982,0.577259,0.803672,0.272701,-0.018239,-0.017243,0.015866,0.999559
0.341207,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.001,0.022,-0.054,0.026,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484773,1.229217,0.319665,0.000902,0.005876,0.000976,-0.999982,0.543448,1.127841,0.229235,-0.001184,-0.005782,-0.000547,0.999982,0.577259,0.803672,0.272701,-0.018239,-0.017243,0.015866,0.999559
0.351533,0.000,0.000,0.000,0.325,0.337,0.339,0.344,-0.001,0.022,-0.054,0.026,0.009,-0.007,-0.025,-0.035,0.000,0.000,0.000,0.000,0.484774,1.229213,0.319666,0.000899,0.005877,0.000980,-0.999982,0.543452,1.127839,0.229236,-0.001175,-0.005782,-0.000543,0.999982,0.577256,0.803676,0.272705,-0.018238,-0.017246,0.015861,0.999559
