trial,file,topology,waveform,preinflation_psi,pmax_psi,nmse,rmse_deg,delay_decoding_index,mean_inter_pouch_corr,mean_ccc,pc1_variance_pct,participation_ratio,mean_pouch_sigma_psi,response_diversity,mean_snr,mean_dynamic_range_psi,mean_sensitivity_psi_per_deg,theta_std_deg
circular_3-5_coupled,Circular_3-5_coupled.csv,coupled,circular,3,5,1.0207942820097,1.47577059098465,0.611109917715332,0.996150531253815,0.701695549366421,99.6912747422922,1.00620049468673,0.0570246821806842,0.0147708945242267,2744.90021157783,0.31500002,0.00596278925819157,1.55625880778417
circular_3-10_coupled,Circular_3-10_coupled.csv,coupled,circular,3,10,0.983465933229836,1.56649308686268,0.482394333578305,0.994646184393076,0.892637142908235,99.572192752157,1.00860526076751,0.0514624752080987,0.0107364237340033,2248.62177684733,0.30965622,0.0066588660503447,1.56081206758446
triangular_1-5_coupled,triangular_1-5_coupled.csv,coupled,triangular,1,5,0.343267949424647,1.33530883566614,12.1125768003081,0.985555125311482,0.916377351097995,98.7909161144445,1.02456379980324,0.0341260497809178,0.0491437421833535,810.287206622668,0.183375002,0.00893304236571182,2.4329399609585
triangular_1-10_coupled,triangular_1-10_coupled.csv,coupled,triangular,1,10,0.583760114517337,2.09237839627965,7.19834916702994,0.987807094942403,0.837752256307929,99.0247981979464,1.0197495475934,0.0368948095104045,0.00240235021633821,985.42813576542,0.20475002,0.00810715569135271,2.85594629798127
triangular_2-5_coupled,triangular_2-5_coupled.csv,coupled,triangular,2,5,0.798862396492962,1.79236829191951,1.17328200231817,0.995734069855951,0.953221837326612,99.658655020736,1.00685871643213,0.0531428857744458,0.0146316221154612,2126.08189083355,0.27646874,0.00908045099058346,2.14222908583685
triangular_2-10_coupled,triangular_2-10_coupled.csv,coupled,triangular,2,10,0.733239832498787,2.05313622806324,2.66765089056685,0.996354992197015,0.953684561606334,99.7092016788715,1.00583922834229,0.0523909611184134,0.0176439162085929,2303.80653329865,0.29615624,0.00799714567716482,2.50792348181511
triangular_3-5_coupled,Triangular_3-5_coupled.csv,coupled,triangular,3,5,0.731512831939468,1.63255040934437,0.829408384311121,0.997224096131174,0.923855614498255,99.7782066821729,1.00444936677176,0.0597049876397706,0.0107249109799941,3663.8075308624,0.3020625,0.00717330432192048,2.06472187164216
triangular_3-10_coupled,Triangular_3-10_coupled.csv,coupled,triangular,3,10,0.798798713446691,1.88571009843836,0.756270834343667,0.995043507396723,0.872936713043626,99.5977062904913,1.00808661107901,0.0660844816184396,0.0149455682579529,3221.54732386757,0.34453128,0.00872933706590435,2.21745767404444
axial_1-5_sealed,axial_1-5_parallel.csv,sealed,axial,1,5,0.0585105617232403,0.510151334546336,23.2068721252936,0.937287961225988,0.044556712991032,95.2729196737881,1.10038422156374,0.0410499948479344,0.120133054431107,2068.77350047866,0.20221876,0.00319682064416787,2.2154427395991
axial_1-10_sealed,Axial_1-10_parallel.csv,sealed,axial,1,10,0.152508748728512,0.920642898580187,26.7874414551373,0.930295418271679,0.0526221852889886,95.6893209887765,1.09112043689409,0.0392972695369876,0.219791415264838,1783.64799286735,0.20165624,0.00312906134003316,2.49016768131726
axial_2-5_sealed,axial_2-5_parallel.csv,sealed,axial,2,5,0.773394969588594,1.75702528185024,9.74645746088902,0.961271365707019,0.0368093437480189,96.0120730748107,1.08320735562513,0.0456159498103948,0.46382498658927,1673.24292435479,0.21543752,0.00396478017478443,2.11587232418428
axial_2-10_sealed,axial_2-10_parallel.csv,sealed,axial,2,10,0.493892719537485,1.65819368640953,17.4702853359251,0.950139752175058,0.0359767735589002,94.7930472308683,1.10984577018069,0.0448679259233994,0.547925630095253,2784.83907992083,0.21065624,0.0041924768981902,2.470865994349
axial_3-5_sealed,Axial_3-5_parallel.csv,sealed,axial,3,5,0.164432684925629,0.836663158434482,21.552906134849,0.985281158479607,0.167988466486701,99.1950762929356,1.01626150314116,0.0606949284337986,0.361905466403979,4193.18906268841,0.27731248,0.00269473753273078,2.15313972140727
axial_3-10_sealed,axial_3-10_parallel.csv,sealed,axial,3,10,0.312451985425554,1.31160834402227,22.9187335005462,0.975513373170395,0.0967024803773939,98.5686945023265,1.02914519688603,0.0485471911526559,0.334773504669354,2843.33197273051,0.232875,0.00272412094839596,2.44427951737613
circular_1-5_sealed,circular_1-5_parallel.csv,sealed,circular,1,5,0.143941372564071,0.707183307724082,22.7095739717608,0.895565326903372,0.038629240309037,90.1160266157146,1.21963661060413,0.0450729612284375,0.27014148417086,2280.46718674824,0.25649999,0.00601439766937479,1.97864978246785
circular_1-10_sealed,circular_1-10_parallel.csv,sealed,circular,1,10,0.044338500653103,0.389763501345435,28.170339674152,0.867869015539305,0.0594008685326223,89.7463645906639,1.23010291604686,0.0457338161642343,0.035264527945762,2186.19834413366,0.2705625,0.00552417756019876,1.97633851779887
circular_2-5_sealed,circular_2-5_parallel.csv,sealed,circular,2,5,0.224026456209601,0.76513742019525,14.7020873351278,0.952076224080143,0.074221352924402,95.8105229523926,1.08794624615362,0.0375991957626543,0.14434647299258,1475.45166497463,0.21431256,0.0057756183490695,1.75967174376765
circular_2-10_sealed,circular_2-10_parallel.csv,sealed,circular,2,10,0.228536512144402,0.776637423750645,17.2671050994038,0.940828018311859,0.126779660417174,95.1228414344884,1.10310719319624,0.0398700995592502,0.0526658217628261,1388.02893296413,0.23625004,0.00686472669830786,1.78267523575918
circular_3-5_sealed,circular_3-5_parallel.csv,sealed,circular,3,5,0.152182131211474,0.60130660292799,26.3072650305015,0.982452095474015,0.172929603313996,98.7906282392423,1.02454384609199,0.0666053902892558,0.24959274376627,4777.91420170982,0.33778126,0.00290729550067844,1.65143422229163
circular_3-10_sealed,Circular_3-10_parallel.csv,sealed,circular,3,10,0.110143770553669,0.501507658928544,14.8229526206549,0.96752652460994,0.217835179998507,97.8632427732919,1.04373114151331,0.0905269782632138,0.776119848858777,12694.0933984498,0.43368738,0.00264443044303919,1.62700289595719
triangular_1-5_sealed,triangle_1-5_parallel.csv,sealed,triangular,1,5,0.102567324927274,0.782552391304313,33.7441689698084,0.877760535815954,0.117657134771703,94.4962666894097,1.11802811009845,0.0484125447815509,0.41184606884111,2408.58801704434,0.25734376,0.00488052275315601,2.55781074742465
triangular_1-10_sealed,triangle_1-10_parallel.csv,sealed,triangular,1,10,0.0488584031551987,0.611455715103207,32.7951651798863,0.846101708932336,0.134552347208761,90.6017734747251,1.20926756503298,0.0547084293865418,0.135301413897828,2656.88323454552,0.30543753,0.00485634608505456,2.94806425334249
triangular_2-5_sealed,triangular_2-5_parallel.csv,sealed,triangular,2,5,0.154622398494358,0.817440932434287,22.0510672593239,0.787672104579638,0.140261538804018,86.1606489018002,1.32593208059005,0.0419002799066257,0.112419954555978,1341.22796126609,0.2202188,0.00631397977891064,2.29194538207516
triangular_2-10_sealed,triangular_2-10_parallel.csv,sealed,triangular,2,10,0.0977325713791275,0.753500395371997,20.8967699313215,0.949692308546179,0.137063088574146,95.8087022125093,1.08777200029073,0.0482000534337645,0.0951704224259785,1841.35507492068,0.25368748,0.00680653409559755,2.61364957071924
triangular_3-5_sealed,triangle_3-5_parallel.csv,sealed,triangular,3,5,0.114650756884307,0.721156100808581,26.2261409340042,0.983208717969993,0.194769311782946,98.9320703109115,1.02163677812236,0.0734425218844311,0.208788028205514,5659.14474569732,0.35353128,0.00298725739864823,2.25142864890192
triangular_3-10_sealed,Triangular_3-10_parallel.csv,sealed,triangular,3,10,0.0866187133086408,0.678649121979349,31.1491973524922,0.972741979072421,0.174494625099331,98.3690365234403,1.03325040319223,0.0669998974203898,0.223185827548163,4560.31735589157,0.3380625,0.00374161263313519,2.46474796331324
